Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Site Clean,Cleaning,MATERIAL,Incomplete,350,Cleaning,0,1500,150,1650,unit,0,20,0,0,0,0,0,
Exclusions,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Exclusions,Exclusions,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Appliance install,Exclusions,LABOUR,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,"No allowance for install of appliance not built into joinery
"
Certification Fees,Exclusions,MATERIAL,Incomplete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,
Engineering Inspections,Exclusions,MATERIAL,Incomplete,103,Engineering,0,0,0,0,unit,0,20,0,0,0,0,0,
Portable Long Service Levy,Exclusions,MATERIAL,Incomplete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,
Design Fees,Exclusions,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Postage/delivery fees for materials & PC items.,Exclusions,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Engineer Inspections,Exclusions,SUBCONTRACTOR,Incomplete,103,Engineering,0,0,0,0,unit,0,20,0,0,0,0,0,
Soil Test,Exclusions,SUBCONTRACTOR,Incomplete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,
Engineering,Exclusions,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Energy Report,Exclusions,FEE,Incomplete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,
Landscaping and all associated notes on plan.,Exclusions,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
Wind Turbine and any assocaited work,Exclusions,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
Solar - Truss provisions for future works included.,Exclusions,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
All Fee's and Connections during construction to be paid by owner.,Exclusions,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
Pool and any other associated works - Future Provisions TBC,Exclusions,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
Terms,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
"Tile installation pricing is for standard tiles only. If tiles installed are decorative, mosaic, subway or the like, their installation will incur added cost to the labour component.",Terms,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
"Everything that is not mentioned in this quote, is not included.",Terms,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Concrete saw blade,,MATERIAL,Incomplete,203,Demolition,1,350,35,385,unit,350,0,0,350,35,385,385,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,
Totals,,,,,,,,,,,,,,,,,,
Builder Fixed Cost,,11097.91,,,,,,,,,,,,,,,,
Allowances,,0,,,,,,,,,,,,,,,,
Overheads,,0,,,,,,,,,,,,,,,,
Insurances,,0,,,,,,,,,,,,,,,,
Markup,,2149.58,,,,,,,,,,,,,,,,
Total Tax,,1324.75,,,,,,,,,,,,,,,,
Adjust,,0,,,,,,,,,,,,,,,,
Total,,14572.24,,,,,,,,,,,,,,,,
